Site,Code,C14Age,C14SD,LabNumber,Material,Tradition,Sub,Latitude,Longitude,SiteDescription,Comments,Reference,FullReference,Exclude,calCurves,resOffsets,resErrors,Period,L1,L2,Name,Cultural Affiliation
Faz. Dona Carlota 2,PR-FI-140,2010,75,SI-5028,,Tupiguarani,Guarani,-25.2054,-54.4603,Patches of dark earth.,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Faz. Dona Carlota 2 (PR-FI-140),Tupiguarani (Guarani)
Sauípe 8,,1880,60,Beta-118818,,Tupiguarani,,-12.4038,-37.9295,,,Robrahn-González and Zanettini 2001,"Robrahn-González, Erika M, and Paulo Zanettini. 2001. “Programa Arqueológico de Resgate - Complexo Ecoturístico Costa de São João - Bahia - Relatório Final.” São Paulo.",FALSE,shcal20,0,0,,TP,,Sauípe 8,Tupiguarani
SP-BA-07,SP-BA-07,1870,100,SI-418,Charcoal,Tupiguarani,Guarani,-23.583,-49.6,,,Stuckenrath and Mielke 1970,"Stuckenrath, R, and J Mielke. 1970. “Smithsonian Institution Radiocarbon Measurements VI.” Radiocarbon 12 (1): 193–204.",FALSE,shcal20,0,0,,TP,,SP-BA-07,Tupiguarani (Guarani)
San Miguel II,,1860,50,LP-215,,Tupiguarani,Guarani,-27.689,-57.004,,,Mujica 1995,"Mujica, J I. 1995. “Un Sitio Guaraní En El Centro de La Provincia de Corrientes -Llamarada- Santa Rosa. Depto. de Concepción.” In XX Encuentro de Geohistoria Regional, 135–48. Governador Virasoro.",FALSE,shcal20,0,0,,TP,,San Miguel II,Tupiguarani (Guarani)
Paraíso,PA-BA-08,1830,30,Beta-324182,,Tupiguarani,Itacaiúnas,-4.4351,-49.9235,ADE site.,,Unpublished,Unpublished,FALSE,shcal20,0,0,,TP,,Paraíso (PA-BA-08),Tupiguarani (Itacaiúnas)
Loca da Anta,MT-SL-62,1810,60,Beta-31034,,Tupiguarani,,-16.3861,-55.0456,Rock shelter with parietal art., The provenience of the date is unclear. Could be Uru.,Corrêa 2014,"Corrêa, Angelo A. 2014. “Pindorama de Mboîa e Îakaré: Continuidade e Mudança Na Trajetória Das Populações Tupi.” São Paulo: Universidade de São Paulo.",TRUE,shcal20,0,0,,TP,,Loca da Anta (MT-SL-62),Tupiguarani
Emilio Kieffer,RS-MJ-88,1800,100,SI-2205,,Tupiguarani,Guarani,-29.659,-53.555,,"The date is usually accepted, but it was considered too early when originally published.",Brochado 1984,"Brochado, José Joaquim Justiniano Proenza. 1984. “An Ecological Model of the Spread of Pottery and Agriculture into Eastern South America.” Urbana-Champaign: University of Illinois.",FALSE,shcal20,0,0,,TP,,Emilio Kieffer (RS-MJ-88),Tupiguarani (Guarani)
Abraham,PA-AT-298,1780,50,Beta-227300,Charcoal,Tupiguarani,,-5.8059,-50.5414,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Abraham (PA-AT-298),Tupiguarani
Morro Grande,RJ00361,1740,90,Beta-84333,Charcoal,Tupiguarani,,-22.7853,-42.3636,"Dark layer of hearths and charcoal with funerary urns buried in pits, accompanied by painted ceramics and surrounded by hearths.",,Scheel-Ybert et al. 2008,"Scheel-Ybert, Rita, Kita Macario, Angela Buarque, Roberto M Anjos, and Mariana Beauclair. 2008. “A New Age to an Old Site: The Earliest Tupiguarani Settlement in Rio de Janeiro State?” Anais Da Academia Brasileira de Ciências 80: 763–70.",FALSE,shcal20,0,0,,TP,,Morro Grande (RJ00361),Tupiguarani
Loca da Anta,MT-SL-62,1700,70,Beta-31032,,Tupiguarani,,-16.3861,-55.0456,Rock shelter with parietal art.,The provenience of the date is unclear. Could be Uru.,Corrêa 2014,"Corrêa, Angelo A. 2014. “Pindorama de Mboîa e Îakaré: Continuidade e Mudança Na Trajetória Das Populações Tupi.” São Paulo: Universidade de São Paulo.",TRUE,shcal20,0,0,,TP,,Loca da Anta (MT-SL-62),Tupiguarani
Queimada Nova,PI00070,1690,110,GIF-3225,Charcoal,Tupiguarani,,-8.7974,-42.4667,Ring village with 11 large patches of dark earth around a plaza.,,Brochado 1984,"Brochado, José Joaquim Justiniano Proenza. 1984. “An Ecological Model of the Spread of Pottery and Agriculture into Eastern South America.” Urbana-Champaign: University of Illinois.",FALSE,shcal20,0,0,,TP,,Queimada Nova (PI00070),Tupiguarani
Angoaguasu,,1680,90,UA-10240,Human bone,Tupiguarani,,-20.41,-63.85,Human skull covered by a painted vessel.,,Pärssinen 2005,"Pärssinen, Matti. 2005. “Quando Começou, Realmente, a Expansão Guarani Em Direção Às Serras Andinas Orientais?” Revista de Arqueologia 18: 51–66.",FALSE,shcal20,0,0,,TP,,Angoaguasu,Tupiguarani
Placitu Mayu,,1675,80,UA-10238,Human bone,Tupiguarani,,-19.62,-64.43,Primary burial with skull covered by painted ceramics.,,Pärssinen 2005,"Pärssinen, Matti. 2005. “Quando Começou, Realmente, a Expansão Guarani Em Direção Às Serras Andinas Orientais?” Revista de Arqueologia 18: 51–66.",FALSE,shcal20,0,0,,TP,,Placitu Mayu,Tupiguarani
Caldeirão 2,PA-AT-19,1670,80,SI-6274,,Tupiguarani,Itacaiúnas,-5.8766,-50.489,ADE site with 4.5 ha.,,Magalhães 1994,"Magalhães, Marcos Pereira. 1994. Arqueologia de Carajás: A Presença Pré-Histórica Do Homem Na Amazônia. Rio de Janeiro: Vale do Rio Doce.",FALSE,shcal20,0,0,,TP,,Caldeirão 2 (PA-AT-19),Tupiguarani (Itacaiúnas)
Deus me Livre 1,PA-AT-22,1670,80,,,Tupiguarani,Itacaiúnas,-5.84,-50.45,ADE site.,,Corrêa 2014,"Corrêa, Angelo A. 2014. “Pindorama de Mboîa e Îakaré: Continuidade e Mudança Na Trajetória Das Populações Tupi.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Deus me Livre 1 (PA-AT-22),Tupiguarani (Itacaiúnas)
Zé Espinho,RJ00238,1650,170,BaH-1343,,Tupiguarani,,-23.0206,-43.5789,Reoccupation of mid-Holocene shell mound.,,Kneip and Pallestrini 1987,"Kneip, Andreas, and Luciana Pallestrini. 1987. “Arqueologia: Estatigrafia, Cronologia e Estruturas Do Sambaqui Do Zé Do Espinho.” In Coletores e Pescadores Pré-Históricos de Guaratiba - Rio de Janeiro, edited by Andreas Kneip, 89–141. Rio de Janeiro: EDUFF/Museu Nacional.",FALSE,shcal20,0,0,,TP,,Zé Espinho (RJ00238),Tupiguarani
Lagoa Seca,PR-FI-118,1625,60,SI-5021,,Tupiguarani,Guarani,-24.7803,-54.3595,,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Lagoa Seca (PR-FI-118),Tupiguarani (Guarani)
Rio Uruguai,,1570,100,,,Tupiguarani,Guarani,-27.17,-53.73,,,Piazza 1969,"Piazza, Walter F. 1969. “Notícia Arqueológica Do Vale Do Uruguai.” Publicaçoes Avulsas Do Museu Paraense Emilio Goeldi 10: 55–57.",FALSE,shcal20,0,0,,TP,,Rio Uruguai,Tupiguarani (Guarani)
Borevi 1,PR-FI-99,1565,70,SI-5019,,Tupiguarani,Guarani,-25.2553,-54.4839,Patches of dark earth arranged in a semi-circle.,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Borevi 1 (PR-FI-99),Tupiguarani (Guarani)
Caldeirão 2,PA-AT-19,1560,85,,,Tupiguarani,Itacaiúnas,-5.8766,-50.489,ADE site with 4.5 ha.,,Simões 1986,"Simões, Mário F. 1986. “Salvamento Arqueológico.” In Carajás: Desafio Político, Ecologia e Desenvolvimento, edited by J M G Almeida Jr., 535–59. Brasília: CNPq.",FALSE,shcal20,0,0,,TP,,Caldeirão 2 (PA-AT-19),Tupiguarani (Itacaiúnas)
Dique Bf2,PA-AT-282,1560,40,Beta-195713,,Tupiguarani,,-5.8227,-50.4945,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Dique Bf2 (PA-AT-282),Tupiguarani
Dique Bf2,PA-AT-282,1540,40,Beta-195712,,Tupiguarani,,-5.8227,-50.4945,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Dique Bf2 (PA-AT-282),Tupiguarani
Baixio dos Caboclos,CE00178,1530,50,Beta-241018,,Tupiguarani,,-7.3569,-39.0235,,,Zanettini 2009,"anettini, P. 2009. “Programa de Resgate Do Patrimônio Arqueológico, Histórico e Cultural Da Ferovia Transnordestina (Trecho Missão Velha - Salgueiro), Estados Do Ceará e Pernambuco.” São Paulo: Zanettini Arqueologia.",FALSE,shcal20,0,0,,TP,,Baixio dos Caboclos (CE00178),Tupiguarani
Loca da Anta,MT-SL-62,1520,60,Beta-78255,,Tupiguarani,,-16.3788,-55.014,Rock shelter with parietal art.,The provenience of the date is unclear. Could be Uru.,Corrêa 2014,"Corrêa, Angelo A. 2014. “Pindorama de Mboîa e Îakaré: Continuidade e Mudança Na Trajetória Das Populações Tupi.” São Paulo: Universidade de São Paulo.",TRUE,shcal20,0,0,,TP,,Loca da Anta (MT-SL-62),Tupiguarani
Abrigo Pedra Talhada,GO-NI-176,1510,50,CENA-245,Charcoal,Tupiguarani,,-13.9506,-48.2772,Rock shelter.,,Pontim 2011,"Pontim, Rute L. 2011. “A Tradição Tupiguarani Na Bacia Do Alto Tocantins.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Abrigo Pedra Talhada (GO-NI-176),Tupiguarani
Zé Espinho,RJ00238,1510,160,BaH-1339,Marine shell,Tupiguarani,,-23.0206,-43.5789,Reoccupation of mid-Holocene shell mound.,,Kneip and Pallestrini 1987,"Kneip, A., Pallestrini, L., 1987. Arqueologia: estatigrafia, cronologia e estruturas do sambaqui do Zé do Espinho, in: Kneip, A. (Ed.), Coletores e Pescadores Pré-Históricos de Guaratiba - Rio de Janeiro. EDUFF/Museu Nacional, Rio de Janeiro, pp. 89–141.",FALSE,marine20,-54,101,,TP,,Zé Espinho (RJ00238),Tupiguarani
Restaurante Ivaí 2,PR-FL-21,1490,45,SI-1011,Charcoal,Tupiguarani,Guarani,-23.5848,-52.2897,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Restaurante Ivaí 2 (PR-FL-21),Tupiguarani (Guarani)
Albino Mazzari,RS-MJ-60,1475,80,SI-2203,,Tupiguarani,Guarani,-29.48,-53.6,,,Brochado 1971,"Brochado, José Joaquim Justiniano Proenza. 1971. “Expansão Das Pesquisas Arqueológicas Nos Vales Do Jacuí e Ibicuí-Mirim.” Publicaçoes Avulsas Do Museu Paraense Emilio Goeldi 15: 11–36.",FALSE,shcal20,0,0,,TP,,Albino Mazzari (RS-MJ-60),Tupiguarani (Guarani)
Faz. Dona Carlota 4,PR-FI-142,1395,60,SI-5033,,Tupiguarani,Guarani,-25.1797,-54.4437,Patches of dark earth.,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Faz. Dona Carlota 4 (PR-FI-142),Tupiguarani (Guarani)
Ilha Comprida 8,MS-PR-86,1380,70,Gif-11224,,Tupiguarani,Guarani,-20.93,-51.62,,,Kashimoto and Martins 2008,"Kashimoto, Emilia M, and Gilson R Martins. 2008. “A Problemática Arqueológica Da Tradição Cerâmica Tupiguarani No Mato Grosso Do Sul.” In Os Ceramistas Tupiguarani, edited by André Prous and Tania A Lima, 149–78. Belo Horizonte: Sigma.",FALSE,shcal20,0,0,,TP,,Ilha Comprida 8 (MS-PR-86),Tupiguarani (Guarani)
José Vieira,PR-ST-06,1380,150,GSY-81,Charcoal,Tupiguarani,Guarani,-23.363,-52.908,,,Brochado 1984,"Brochado, José Joaquim Justiniano Proenza. 1984. “An Ecological Model of the Spread of Pottery and Agriculture into Eastern South America.” Urbana-Champaign: University of Illinois.",FALSE,shcal20,0,0,,TP,,José Vieira (PR-ST-06),Tupiguarani (Guarani)
Rio Taquari 1,MS-PR-45,1380,40,Gif-12026,,Tupiguarani,Guarani,-21.417,-52.0188,,,Kashimoto and Martins 2008,"Kashimoto, Emilia M, and Gilson R Martins. 2008. “A Problemática Arqueológica Da Tradição Cerâmica Tupiguarani No Mato Grosso Do Sul.” In Os Ceramistas Tupiguarani, edited by André Prous and Tania A Lima, 149–78. Belo Horizonte: Sigma.",FALSE,shcal20,0,0,,TP,,Rio Taquari 1 (MS-PR-45),Tupiguarani (Guarani)
4 Alfa,PA-AT-292,1360,40,Beta-217608,Charcoal,Tupiguarani,,-5.7781,-50.5465,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,4 Alfa (PA-AT-292),Tupiguarani
Mirim,,1340,50,Beta-217601,Charcoal,Tupiguarani,,-5.763,-50.516,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Mirim,Tupiguarani
Abrigo Pedra Talhada,GO-NI-176,1280,70,CENA-248,Charcoal,Tupiguarani,,-13.9506,-48.2772,Rock shelter.,,Pontim 2011,"Pontim, Rute L. 2011. “A Tradição Tupiguarani Na Bacia Do Alto Tocantins.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Abrigo Pedra Talhada (GO-NI-176),Tupiguarani
Terra Preta do Mangabal,PA01311,1270,30,Beta-400865,Charcoal,Mangabal,,-5.1735,-56.9055,"Largest ADE site in its region, with more than 20 ha and mound features.",Previously undescribed complex associated with the Munduruku (Tupi).,Rocha 2017,"Rocha, Bruna. 2017. “Ipi Ocemumuge: A Regional Archaeology of the Upper Tapajós River.” London: University College of London.",FALSE,shcal20,0,0,,TP,,Terra Preta do Mangabal (PA01311),Mangabal
Mirim,,1270,40,Beta-227317,Charcoal,Tupiguarani,,-5.763,-50.516,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Mirim,Tupiguarani
Terra Preta do Mangabal,PA01311,1265,28,OxA-34135,Seed,Mangabal,,-5.1735,-56.9055,"Largest ADE site in its region, with more than 20 ha and mound features.",Previously undescribed complex associated with the Munduruku (Tupi).,Rocha 2017,"Rocha, Bruna. 2017. “Ipi Ocemumuge: A Regional Archaeology of the Upper Tapajós River.” London: University College of London.",FALSE,shcal20,0,0,,TP,,Terra Preta do Mangabal (PA01311),Mangabal
Santa Tecla I,,1261,140,AC-1336,,Tupiguarani,Guarani,-27.637,-56.615,,Attributed to pre-Guarani occupation.,Rodríguez 1997,"Rodríguez, Jorge A. 1997. “Investigaciones Arqueológicas En Yacyretá (Corrientes-Argentina).” Jornadas de Antropología de La Cuenca Del Plata 3: 41–47.",TRUE,shcal20,0,0,,TP,,Santa Tecla I,Tupiguarani (Guarani)
Baixio dos Lopes,CE00532,1260,50,Beta-241016,,Tupiguarani,,-7.4922,-38.9999,Three funerary urns were recovered.,,Zanettini 2009,"Zanettini, P. 2009. “Programa de Resgate Do Patrimônio Arqueológico, Histórico e Cultural Da Ferovia Transnordestina (Trecho Missão Velha - Salgueiro), Estados Do Ceará e Pernambuco.” São Paulo: Zanettini Arquitetura.",FALSE,shcal20,0,0,,TP,,Baixio dos Lopes (CE00532),Tupiguarani
Capané,RS-MJ-101,1255,100,SI-2201,Charcoal,Tupiguarani,Guarani,-29.836,-53.17,,,Schmitz and Brochado 1972,"Schmitz, Pedro I, and Jose Joaquim Justiniano Proenza Brochado. 1972. “Datos Para Una Secuencia Cultural Del Estado de Rio Grande Do Sul, Brasil.” Gabinete de Arqueologia Publicações 2: 1–20.",FALSE,shcal20,0,0,,TP,,Capané (RS-MJ-101),Tupiguarani (Guarani)
Terra Preta do Mangabal,PA01311,1251,28,OxA-34133,Charcoal,Mangabal,,-5.1735,-56.9055,"Largest ADE site in its region, with more than 20 ha and mound features.",Previously undescribed complex associated with the Munduruku (Tupi).,Rocha 2017,"Rocha, Bruna. 2017. “Ipi Ocemumuge: A Regional Archaeology of the Upper Tapajós River.” London: University College of London.",FALSE,shcal20,0,0,,TP,,Terra Preta do Mangabal (PA01311),Mangabal
Escola,RO-JI-28,1250,60,,,Proto-Tupiguarani,,-10.7251,-61.8191,,,Miller 2009,"Miller, Eurico T. 2009. “A Cultura Cerâmica Do Tronco Tupí No Alto Ji-Paraná, Rondônia, Brasil: Algumas Reflexões Teóricas, Hipotéticas e Conclusivas.” Revista Brasileira de Linguística Antropológica 1 (1): 35–136.",FALSE,shcal20,0,0,,TP,,Escola (RO-JI-28),Proto-Tupiguarani
Alex,PA-AT-286,1250,50,Beta-227303,Charcoal,Tupiguarani,,-5.772,-50.555,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Alex (PA-AT-286),Tupiguarani
Terra Preta do Mangabal,PA01311,1243,30,OxA-34134,Charcoal,Mangabal,,-5.1735,-56.9055,"Largest ADE site in its region, with more than 20 ha and mound features.",Previously undescribed complex associated with the Munduruku (Tupi).,Rocha 2017,"Rocha, Bruna. 2017. “Ipi Ocemumuge: A Regional Archaeology of the Upper Tapajós River.” London: University College of London.",FALSE,shcal20,0,0,,TP,,Terra Preta do Mangabal (PA01311),Mangabal
Taquapelingai 1,PR-FI-97,1235,60,SI-5016,,Tupiguarani,Guarani,-25.2885,-54.4885,Patches of dark earth arranged in a semi-circle.,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Taquapelingai 1 (PR-FI-97),Tupiguarani (Guarani)
Encantado,,1230,30,Beta-406837,Wood,Tupiguarani,,-2.63,-45.1,Wooden foundations of stilt houses in a lake.,,Navarro 2018,"Navarro, Alexandre Guida. 2018. “Morando No Meio Dos Rios e Lagos: Mapeamento e Análise Cerâmica de Quatro Estearias Do Maranhão.” Revista de Arqueologia 31 (1): 73–103.",FALSE,shcal20,0,0,,TP,,Encantado,Tupiguarani
Cavalo Branco,,1225,65,Beta-210849,Charcoal,Tupiguarani,Tauarí,-5.1732,-49.0426,Two circular patches of ADE and a mound (midden).,,Almeida 2008,"Almeida, Fernando O. 2008. “O Complexo Tupi Da Amazônia Oriental.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Cavalo Branco,Tupiguarani (Tauarí)
Abrigo Pedra Talhada,GO-NI-176,1220,60,CENA-249,Charcoal,Tupiguarani,,-13.9506,-48.2772,Rock shelter.,,Pontim 2011,"Pontim, Rute L. 2011. “A Tradição Tupiguarani Na Bacia Do Alto Tocantins.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Abrigo Pedra Talhada (GO-NI-176),Tupiguarani
Linha Uruguai Sul,RS-VZ-04,1220,120,SI-708,Charcoal,Tupiguarani,Guarani,-27.817,-55.05,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Linha Uruguai Sul (RS-VZ-04),Tupiguarani (Guarani)
Terra Queimada,RO-JP-03,1220,40,Beta-230194,Charcoal,Tupiguarani,,-8.8863,-64.7167,Site covering 750 x 350 m with midden area.,,Zimpel Neto 2008,"Zimpel Neto, Carlos Augusto. 2008. “Na Direção Das Periferias Extremas Da Amazônia: Arqueologia Na Bacia Do Rio Jiparaná, Rondônia.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Terra Queimada (RO-JP-03),Tupiguarani
Bitoca 1,PA-AT-277,1210,40,Beta-195709,Charcoal,Tupiguarani,,-5.8202,-50.5021,ADE site.,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Bitoca 1 (PA-AT-277),Tupiguarani
Nova Ipixuna 3,,1210,70,,,Tupiguarani,Tauarí,-4.9159,-49.0371,,,Almeida 2008,"Almeida, Fernando O. 2008. “O Complexo Tupi Da Amazônia Oriental.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Nova Ipixuna 3,Tupiguarani (Tauarí)
