"","growth","displacement","cost","score"
"109",0.035,45,5,Inf
"110",0.04,45,5,Inf
"111",0.02,50,5,Inf
"112",0.025,50,5,Inf
"113",0.03,50,5,Inf
"114",0.035,50,5,Inf
"115",0.04,50,5,Inf
"116",0.02,55,5,Inf
"126",0.02,40,6,Inf
"127",0.025,40,6,Inf
"128",0.03,40,6,Inf
"129",0.035,40,6,Inf
"130",0.04,40,6,Inf
"131",0.02,45,6,Inf
"132",0.025,45,6,Inf
"133",0.03,45,6,Inf
"134",0.035,45,6,Inf
"135",0.04,45,6,Inf
"136",0.02,50,6,Inf
"137",0.025,50,6,Inf
"138",0.03,50,6,Inf
"139",0.035,50,6,Inf
"140",0.04,50,6,Inf
"141",0.02,55,6,Inf
"142",0.025,55,6,Inf
"143",0.03,55,6,Inf
"146",0.02,60,6,Inf
"151",0.02,40,7,Inf
"152",0.025,40,7,Inf
"153",0.03,40,7,Inf
"154",0.035,40,7,Inf
"155",0.04,40,7,Inf
"156",0.02,45,7,Inf
"157",0.025,45,7,Inf
"158",0.03,45,7,Inf
"159",0.035,45,7,Inf
"160",0.04,45,7,Inf
"161",0.02,50,7,Inf
"162",0.025,50,7,Inf
"163",0.03,50,7,Inf
"164",0.035,50,7,Inf
"165",0.04,50,7,Inf
"166",0.02,55,7,Inf
"167",0.025,55,7,Inf
"168",0.03,55,7,Inf
"169",0.035,55,7,Inf
"170",0.04,55,7,Inf
"171",0.02,60,7,Inf
"172",0.025,60,7,Inf
"176",0.02,40,8,Inf
"177",0.025,40,8,Inf
"178",0.03,40,8,Inf
"179",0.035,40,8,Inf
"180",0.04,40,8,Inf
"181",0.02,45,8,Inf
"182",0.025,45,8,Inf
"183",0.03,45,8,Inf
"184",0.035,45,8,Inf
"185",0.04,45,8,Inf
"186",0.02,50,8,Inf
"187",0.025,50,8,Inf
"188",0.03,50,8,Inf
"189",0.035,50,8,Inf
"190",0.04,50,8,Inf
"191",0.02,55,8,Inf
"192",0.025,55,8,Inf
"193",0.03,55,8,Inf
"194",0.035,55,8,Inf
"195",0.04,55,8,Inf
"196",0.02,60,8,Inf
"197",0.025,60,8,Inf
"198",0.03,60,8,Inf
"199",0.035,60,8,Inf
"200",0.04,60,8,Inf
"201",0.02,40,9,Inf
"202",0.025,40,9,Inf
"203",0.03,40,9,Inf
"204",0.035,40,9,Inf
"205",0.04,40,9,Inf
"206",0.02,45,9,Inf
"207",0.025,45,9,Inf
"208",0.03,45,9,Inf
"209",0.035,45,9,Inf
"210",0.04,45,9,Inf
"211",0.02,50,9,Inf
"212",0.025,50,9,Inf
"213",0.03,50,9,Inf
"214",0.035,50,9,Inf
"215",0.04,50,9,Inf
"216",0.02,55,9,Inf
"217",0.025,55,9,Inf
"218",0.03,55,9,Inf
"219",0.035,55,9,Inf
"220",0.04,55,9,Inf
"221",0.02,60,9,Inf
"222",0.025,60,9,Inf
"223",0.03,60,9,Inf
"224",0.035,60,9,Inf
"225",0.04,60,9,Inf
"226",0.02,40,10,Inf
"227",0.025,40,10,Inf
"228",0.03,40,10,Inf
"229",0.035,40,10,Inf
"230",0.04,40,10,Inf
"231",0.02,45,10,Inf
"232",0.025,45,10,Inf
"233",0.03,45,10,Inf
"234",0.035,45,10,Inf
"235",0.04,45,10,Inf
"236",0.02,50,10,Inf
"237",0.025,50,10,Inf
"238",0.03,50,10,Inf
"239",0.035,50,10,Inf
"240",0.04,50,10,Inf
"241",0.02,55,10,Inf
"242",0.025,55,10,Inf
"243",0.03,55,10,Inf
"244",0.035,55,10,Inf
"245",0.04,55,10,Inf
"246",0.02,60,10,Inf
"247",0.025,60,10,Inf
"248",0.03,60,10,Inf
"249",0.035,60,10,Inf
"250",0.04,60,10,Inf
